Name,Gender,Relationship,Age,City,Sector,Income,Needs,Expenses,Saving
Sakshi Bala Verma,Female,Unmarried,51-60,Ghaziabad,Private,1193174,596587,357952,238635
Deepika Kumari Gupta,Female,Divorced,26-35,Prayagraj,Business,1081232,540616,324369,216247
Arjun Narayan Saxena,Male,Single,21-25,Chandigarh,Business,857499,428749,257249,171501
Sumit Lal Yadav,Male,Single,36-50,Dehradun,Public,1252198,626099,375659,250440
Aaditya Nath Malhotra,Male,Single,36-50,Bhopal,Public,866550,433275,259965,173310
Naveen Mohan Chauhan,Male,Divorced,26-35,Indore,Business,852076,426038,255622,170416
Deepika Bala Arora,Female,Single,51-60,Dehradun,Private,592619,296309,177785,118525
Ravi Mohan Mehra,Male,Single,26-35,Meerut,Private,1173944,586972,352183,234789
Jyoti Shree Pandey,Female,Divorced,26-35,Ranchi,Government,1338884,669442,401665,267777
Tanvi Shree Saxena,Female,Divorced,51-60,Patna,Government,682205,341102,204661,136442
Manish Prasad Yadav,Male,Unmarried,36-50,Kanpur,Government,1069565,737495,247725,84345
Mahesh Prasad Mathur,Male,Married,36-50,Ghaziabad,Public,1142117,571058,342635,228424
Aaditya Prasad Rawat,Male,Single,21-25,Ranchi,Business,510523,255261,153156,102106
Sachin Lal Mittal,Male,Married,36-50,Patna,Business,779366,389683,233809,155874
Mahesh Nath Rawat,Male,Married,21-25,Noida,Private,439870,219935,131961,87974
Aaditya Dev Bansal,Male,Single,26-35,Agra,Private,1496854,748427,449056,299371
Aakarsh Dev Duggal,Male,Married,26-35,Agra,Public,367348,183674,110204,73470
Ishita Bala Arora,Female,Divorced,26-35,Meerut,Government,787320,393660,236196,157464
Madhu Rani Yadav,Female,Married,36-50,Ranchi,Government,902174,451087,270652,180435
Abhishek Prasad Joshi,Male,Unmarried,36-50,Prayagraj,Government,1459117,729558,437735,291824
Ritu Bala Tripathi,Female,Single,51-60,Agra,Public,1213526,606763,364057,242706
Kapil Dev Bhatia,Male,Single,26-35,Kanpur,Business,895527,447763,268658,179106
Namrata Shree Srivastava,Female,Divorced,36-50,Chandigarh,Business,1417759,708879,425327,283553
Siddharth Kumar Khanna,Male,Unmarried,36-50,Aligarh,Public,584641,410122,117735,56784
Shruti Devi Negi,Female,Divorced,21-25,Ranchi,Business,634761,317380,190428,126953
Vikas Prasad Bhatia,Male,Single,51-60,Aligarh,Government,762186,381093,228655,152438
Ritu Devi Bhatia,Female,Divorced,36-50,Noida,Private,571581,285790,171474,114317
Sakshi Rani Goel,Female,Unmarried,21-25,Meerut,Public,989771,494885,296931,197955
Tanvi Kumari Mahajan,Female,Divorced,51-60,Indore,Private,781062,390531,234318,156213
Gaurav Dev Goel,Male,Unmarried,51-60,Dehradun,Public,840809,420404,252242,168163
Anurag Prasad Tandon,Male,Single,36-50,Gurgaon,Private,1292684,646342,387805,258537
Sachin Kumar Mahajan,Male,Single,21-25,Indore,Private,367676,183838,110302,73536
Shruti Shree Duggal,Female,Divorced,21-25,Kanpur,Private,1425107,712553,427532,285022
Saurabh Mohan Chauhan,Male,Unmarried,36-50,Jaipur,Private,1180258,590129,354077,236052
Amit Nath Chhabra,Male,Married,21-25,Kanpur,Private,432877,216438,129863,86576
Ritu Devi Bhardwaj,Female,Single,36-50,Ranchi,Public,528242,264121,158472,105649
